,molecule_chembl_id,units,IC50,smiles,pIC50
37,CHEMBL3701760,nM,1.2,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(cc5OCn4c3c6ccccc6)C#N,8.920818753952375
38,CHEMBL3701719,nM,1.2,NC1(CCC1)c2ccc(cc2)c3nc4c5c(F)cccc5OCn4c3c6ccccc6,8.920818753952375
39,CHEMBL3701768,nM,1.3,CN(C)C(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1,8.886056647693163
40,CHEMBL3701726,nM,1.4,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6cccc(F)c6OCn5c4c7ccccc7,8.853871964321762
41,CHEMBL3701741,nM,1.5,Cc1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c1,8.823908740944319
42,CHEMBL3701742,nM,1.6,NC1(CC(O)(C1)C2CC2)c3ccc(cc3)c4nc5c6ncccc6OCn5c4c7ccccc7,8.795880017344075
43,CHEMBL3701754,nM,1.6,NC1(CCC1)c2ccc(cc2)c3nc4c5cccnc5OCn4c3c6ccccc6,8.795880017344075
44,CHEMBL3701748,nM,1.7,NC1(CCC1)c2ccc(cc2)c3nc4c5cnccc5OCn4c3c6ccccc6,8.769551078621726
45,CHEMBL3679632,nM,1.7,C[C@@]1(O)C[C@@](N)(C1)c2ccc(cc2)c3nc4ccc5nnc(C(F)F)n5c4cc3c6ccccc6,8.769551078621726
46,CHEMBL3701728,nM,1.7,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccccc6,8.769551078621726
47,CHEMBL3701738,nM,1.7,CCOc1cccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c12,8.769551078621726
48,CHEMBL3701739,nM,1.8,CCOc1cccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c12,8.744727494896694
49,CHEMBL3701725,nM,2,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(F)cc5OCn4c3c6ccccc6,8.698970004336019
50,CHEMBL3701732,nM,2,COc1cccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c12,8.698970004336019
51,CHEMBL3701743,nM,2,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ncccc5OCn4c3c6ccccc6,8.698970004336019
52,CHEMBL598194,nM,2.2,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,8.657577319177793
53,CHEMBL3701759,nM,2.7,CC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ccc(CO)cc5OCn4c3c6ccccc6,8.568636235841012
54,CHEMBL3701729,nM,2.8,NC1(CCC1)c2ccc(cc2)c3nc4c5ccccc5OCn4c3c6ccccc6,8.55284196865778
55,CHEMBL228867,nM,3,C\C(=C/1\C(=O)Nc2ccc(NC(=O)N)cc12)\c3cc(CNC(=O)CCN4CCCCC4)c[nH]3,8.522878745280337
56,CHEMBL3672068,nM,3,Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)c(Br)n6cc5c7ccccc7)C3,8.522878745280337
57,CHEMBL2177361,nM,3,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNCC4CC4)c5ccc(c(F)c5)C(F)(F)F)c12,8.522878745280337
58,CHEMBL409503,nM,3,NCC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ncnc4[nH]cnc34,8.522878745280337
59,CHEMBL228652,nM,3,NCc1cccc(c1)c2c[nH]c(\C=C\3/C(=O)Nc4ccc(NC(=O)N)cc34)c2,8.522878745280337
